date,from_code ,to_code,sku,qty,unit_cost,unit_price,extended_cost,extended_retail,dataset
1/1/2019,YYC-WH,YYC-DT,BK1000,19,8.09,18.92,153.71,359.48,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1000,10,8.09,18.92,80.9,189.2,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1000,7,8.09,18.92,56.63,132.44,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1001,21,10.75,24.49,225.75,514.29,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1001,13,10.75,24.49,139.75,318.37,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1001,6,10.75,24.49,64.5,146.94,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1002,17,15.1,31.89,256.7,542.13,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1002,9,15.1,31.89,135.9,287.01,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1002,7,15.1,31.89,105.7,223.23,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1003,21,14.35,28.58,301.35,600.18,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1003,12,14.35,28.58,172.2,342.96,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1003,10,14.35,28.58,143.5,285.8,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1004,8,7.85,19.61,62.8,156.88,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1004,12,7.85,19.61,94.2,235.32,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1004,7,7.85,19.61,54.95,137.27,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1005,12,15.79,33.13,189.48,397.56,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1005,9,15.79,33.13,142.11,298.17,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1005,13,15.79,33.13,205.27,430.69,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1006,10,8.69,18.39,86.9,183.9,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1006,4,8.69,18.39,34.76,73.56,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1006,5,8.69,18.39,43.45,91.95,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1007,11,8.69,16.64,95.59,183.04,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1007,7,8.69,16.64,60.83,116.48,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1007,7,8.69,16.64,60.83,116.48,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1008,15,12.44,29.31,186.6,439.65,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1008,1,12.44,29.31,12.44,29.31,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1008,4,12.44,29.31,49.76,117.24,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1009,20,13.12,29.99,262.4,599.8,bookstore_inventory
